"filename", "language", "PHP", "comment", "blank", "total"
"c:\xampp\htdocs\Tasklist\app\Console\Kernel.php", "PHP", 15, 12, 6, 33
"c:\xampp\htdocs\Tasklist\app\Exceptions\Handler.php", "PHP", 21, 23, 7, 51
"c:\xampp\htdocs\Tasklist\app\Http\Controllers\Controller.php", "PHP", 10, 0, 4, 14
"c:\xampp\htdocs\Tasklist\app\Http\Controllers\TaskController.php", "PHP", 27, 12, 11, 50
"c:\xampp\htdocs\Tasklist\app\Http\Kernel.php", "PHP", 40, 21, 7, 68
"c:\xampp\htdocs\Tasklist\app\Http\Middleware\Authenticate.php", "PHP", 12, 6, 4, 22
"c:\xampp\htdocs\Tasklist\app\Http\Middleware\EncryptCookies.php", "PHP", 8, 6, 4, 18
"c:\xampp\htdocs\Tasklist\app\Http\Middleware\PreventRequestsDuringMaintenance.php", "PHP", 8, 6, 4, 18
"c:\xampp\htdocs\Tasklist\app\Http\Middleware\RedirectIfAuthenticated.php", "PHP", 19, 8, 6, 33
"c:\xampp\htdocs\Tasklist\app\Http\Middleware\TrimStrings.php", "PHP", 11, 5, 4, 20
"c:\xampp\htdocs\Tasklist\app\Http\Middleware\TrustHosts.php", "PHP", 12, 5, 4, 21
"c:\xampp\htdocs\Tasklist\app\Http\Middleware\TrustProxies.php", "PHP", 14, 10, 5, 29
"c:\xampp\htdocs\Tasklist\app\Http\Middleware\VerifyCsrfToken.php", "PHP", 8, 6, 4, 18
"c:\xampp\htdocs\Tasklist\app\Models\Task.php", "PHP", 10, 0, 5, 15
"c:\xampp\htdocs\Tasklist\app\Models\User.php", "PHP", 22, 16, 7, 45
"c:\xampp\htdocs\Tasklist\app\Providers\AppServiceProvider.php", "PHP", 12, 12, 5, 29
"c:\xampp\htdocs\Tasklist\app\Providers\AuthServiceProvider.php", "PHP", 12, 13, 6, 31
"c:\xampp\htdocs\Tasklist\app\Providers\BroadcastServiceProvider.php", "PHP", 12, 5, 5, 22
"c:\xampp\htdocs\Tasklist\app\Providers\EventServiceProvider.php", "PHP", 21, 16, 6, 43
"c:\xampp\htdocs\Tasklist\app\Providers\RouteServiceProvider.php", "PHP", 28, 17, 8, 53
"Total", "-", 322, 199, 112, 633